"Step","train/rewards/rejected","./SMOL_DPO_ALPHA_DIVERGENCE - train/rewards/rejected__MIN","./SMOL_DPO_ALPHA_DIVERGENCE - train/rewards/rejected__MAX"
"376","-1.0846773386001587","-1.0846773386001587","-1.0846773386001587"
"377","-1.1909362077713013","-1.1909362077713013","-1.1909362077713013"
"378","-1.4966793060302734","-1.4966793060302734","-1.4966793060302734"
"379","-0.8824483156204224","-0.8824483156204224","-0.8824483156204224"
"380","-1.1540077924728394","-1.1540077924728394","-1.1540077924728394"
"381","-1.3656771183013916","-1.3656771183013916","-1.3656771183013916"
"382","-1.1265132427215576","-1.1265132427215576","-1.1265132427215576"
"383","-1.2446237802505493","-1.2446237802505493","-1.2446237802505493"
"384","-1.25168776512146","-1.25168776512146","-1.25168776512146"
"385","-1.1365458965301514","-1.1365458965301514","-1.1365458965301514"
"386","-1.3335187435150146","-1.3335187435150146","-1.3335187435150146"
"387","-0.9772065877914429","-0.9772065877914429","-0.9772065877914429"
"388","-1.0627365112304688","-1.0627365112304688","-1.0627365112304688"
"389","-0.9450057744979858","-0.9450057744979858","-0.9450057744979858"
"390","-1.0043060779571533","-1.0043060779571533","-1.0043060779571533"
"391","-1.0194141864776611","-1.0194141864776611","-1.0194141864776611"
"392","-1.045515537261963","-1.045515537261963","-1.045515537261963"
"393","-1.1000139713287354","-1.1000139713287354","-1.1000139713287354"
"394","-1.3233799934387207","-1.3233799934387207","-1.3233799934387207"
"395","-1.064387321472168","-1.064387321472168","-1.064387321472168"
"396","-1.2157349586486816","-1.2157349586486816","-1.2157349586486816"
"397","-1.3753602504730225","-1.3753602504730225","-1.3753602504730225"
"398","-0.9743612408638","-0.9743612408638","-0.9743612408638"
"399","-1.0370076894760132","-1.0370076894760132","-1.0370076894760132"
"400","-0.967286229133606","-0.967286229133606","-0.967286229133606"
